name,manufacturer,msrp,nvme_slot_count,ethernet,photo,socket,form_factor,max_memory,memory_slots,color
Gigabyte B550M AORUS ELITE AX,Gigabyte ,99.99,,,,AM4,Micro ATX,128,4,Black / Silver
MSI MPG B550 GAMING PLUS,MSI ,131,,,,AM4,ATX,128,4,Black
Gigabyte B550 AORUS ELITE AX V2,Gigabyte ,139.99,,,,AM4,ATX,128,4,Black / Silver
ASRock A620I LIGHTNING WIFI,ASRock ,139.99,,,,AM5,Mini ITX,96,2,Black
Gigabyte B650M AORUS ELITE AX,Gigabyte ,189.99,,,,AM5,Micro ATX,192,4,Black
Gigabyte B450M DS3H WIFI,Gigabyte ,88.98,,,,AM4,Micro ATX,128,4,Brown / Black
Asus TUF GAMING X570-PLUS (WI-FI),Asus ,193.99,,,,AM4,ATX,128,4,Black / Gold
ASRock B760M-H/M.2,ASRock ,89.99,,,,LGA1700,Micro ATX,96,2,Silver / Black
Asus TUF GAMING X670E-PLUS WIFI,Asus ,269.99,,,,AM5,ATX,192,4,Black / Orange
ASRock B650M-HDV/M.2,ASRock ,150.71,,,,AM5,Micro ATX,96,2,Silver / Black
MSI MPG B650I EDGE WIFI,MSI ,261.33,,,,AM5,Mini ITX,96,2,Black / Silver
Gigabyte B650I AORUS ULTRA,Gigabyte ,259.99,,,,AM5,Mini ITX,96,2,Black / Silver
Gigabyte B550 GAMING X V2,Gigabyte ,92.99,,,,AM4,ATX,128,4,Black
MSI X670E GAMING PLUS WIFI,MSI ,229.99,,,,AM5,ATX,192,4,Silver / Black
ASRock B650M-H/M.2+,ASRock ,99.99,,,,AM5,Micro ATX,96,2,Silver / Black
Asus ROG STRIX Z690-I GAMING WIFI,Asus ,189.99,,,,LGA1700,Mini ITX,96,2,Black / Silver
Gigabyte B450M K,Gigabyte ,80,,,,AM4,Micro ATX,64,2,Brown / Silver
Gigabyte Z790 AORUS PRO X,Gigabyte ,349.99,,,,LGA1700,ATX,192,4,Silver
MSI MAG B550 TOMAHAWK,MSI ,139.99,,,,AM4,ATX,128,4,Black / Silver
MSI MEG Z790 GODLIKE MAX,MSI ,1196.99,,,,LGA1700,EATX,192,4,Black
Gigabyte B650 AORUS ELITE AX V2,Gigabyte ,187.79,,,,AM5,ATX,192,4,Black / Silver
ASRock A520M-HDV,ASRock ,66.98,,,,AM4,Micro ATX,64,2,Black / Silver
MSI B450 Gaming Plus MAX,MSI ,74.98,,,,AM4,ATX,128,4,Red / Black
ASRock B550M-ITX/ac,ASRock ,129.99,,,,AM4,Mini ITX,64,2,Silver / Black
ASRock B650 Steel Legend WiFi,ASRock ,179.99,,,,AM5,ATX,192,4,White / Silver
Gigabyte A620I AX,Gigabyte ,139.99,,,,AM5,Mini ITX,96,2,Black / Gray
Asus ROG STRIX Z690-E GAMING WIFI,Asus ,230.99,,,,LGA1700,ATX,192,4,Black
Asus PRIME X670-P WIFI,Asus ,209.99,,,,AM5,ATX,192,4,Silver / Black
MSI PRO B760M-P DDR4,MSI ,99.99,,,,LGA1700,Micro ATX,128,4,Black
Asus ROG CROSSHAIR X670E HERO,Asus ,639.99,,,,AM5,ATX,192,4,Black / Silver
Asus ROG STRIX Z790-E GAMING WIFI,Asus ,359.99,,,,LGA1700,ATX,192,4,Black
MSI MAG B760 TOMAHAWK WIFI,MSI ,179.99,,,,LGA1700,ATX,192,4,Black
Gigabyte H410M H V2,Gigabyte ,72.91,,,,LGA1200,Micro ATX,64,2,Gray / Black
Asus TUF GAMING Z790-PLUS WIFI,Asus ,229.99,,,,LGA1700,ATX,192,4,Black / Gray
Asus ROG ZENITH II EXTREME ALPHA,Asus ,,,,,sTRX4,EATX,256,8,Black / Silver
ASRock X670E Steel Legend,ASRock ,259.99,,,,AM5,ATX,192,4,Black / White
Gigabyte B550I AORUS PRO AX,Gigabyte ,189.99,,,,AM4,Mini ITX,64,2,Black / Silver
Gigabyte B650M D3HP AX,Gigabyte ,134.99,,,,AM5,Micro ATX,192,4,Black / Gray
Gigabyte B760M DS3H AX,Gigabyte ,139.99,,,,LGA1700,Micro ATX,192,4,Black
Gigabyte B550M DS3H AC,Gigabyte ,108.99,,,,AM4,Micro ATX,128,4,Black
Gigabyte Z790 AORUS ELITE X WIFI7,Gigabyte ,279.99,,,,LGA1700,ATX,192,4,Black
Asus PRIME Z790-P WIFI,Asus ,189.99,,,,LGA1700,ATX,192,4,Black / Silver
NZXT N7 B650E,NZXT ,249.99,,,,AM5,ATX,128,4,Black
Asus ProArt X670E-CREATOR WIFI,Asus ,424.99,,,,AM5,ATX,192,4,Black / Copper
MSI B450 TOMAHAWK MAX,MSI ,,,,,AM4,ATX,128,4,Black
Gigabyte X670 AORUS ELITE AX (rev. 1.0),Gigabyte ,269.99,,,,AM5,ATX,192,4,Black
ASRock A620M Pro RS WiFi,ASRock ,177.85,,,,AM5,Micro ATX,192,4,Silver / Black
ASRock B450M PRO4 R2.0,ASRock ,80.15,,,,AM4,Micro ATX,128,4,Gray / Black
MSI PRO H610M-G WIFI DDR4,MSI ,99,,,,LGA1700,Micro ATX,64,2,Black / Silver
ASRock H610M-HVS,ASRock ,69.98,,,,LGA1700,Micro ATX,64,2,Gray / Black
MSI MPG Z790 EDGE TI MAX WIFI,MSI ,299.99,,,,LGA1700,ATX,192,4,Silver / Black
ASRock B650E PG RIPTIDE WIFI,ASRock ,189.99,,,,AM5,ATX,192,4,Black / Blue
MSI B650M GAMING PLUS WIFI,MSI ,,,,,AM5,Micro ATX,192,4,Silver / Black
ASRock Z690 Extreme,ASRock ,129.99,,,,LGA1700,ATX,128,4,Black / Silver
Gigabyte Z790 EAGLE AX,Gigabyte ,183.94,,,,LGA1700,ATX,192,4,Gray / Black
Gigabyte B650E AORUS ELITE X AX ICE,Gigabyte ,249.99,,,,AM5,ATX,192,4,Silver / White
Gigabyte B550M DS3H,Gigabyte ,89,,,,AM4,Micro ATX,128,4,Black / Gold
Asus ROG STRIX B650E-E GAMING WIFI,Asus ,331.14,,,,AM5,ATX,192,4,Black
Gigabyte B760 GAMING X AX,Gigabyte ,169.99,,,,LGA1700,ATX,192,4,Black / Gray
Gigabyte A520M K V2,Gigabyte ,78.04,,,,AM4,Micro ATX,64,2,Brown / Black
