name,manufacturer,series,msrp,core_count,core_speed,boost_speed,tdp,socket,photo
AMD Threadripper 2920X,AMD ,Threadripper,707.8,12,3.5,4.3,180,,
AMD Threadripper 2950X,AMD ,Threadripper,1075,16,3.5,4.4,180,,
AMD Threadripper 2970WX,AMD ,Threadripper,1099.99,24,3,4.2,250,,
AMD Threadripper 2990WX,AMD ,Threadripper,2500,32,3,4.2,250,,
AMD Threadripper 3960X,AMD ,Threadripper,1244.02,24,3.8,4.5,280,,
AMD Threadripper 3970X,AMD ,Threadripper,1675,32,3.7,4.5,280,,
AMD Threadripper 3990X,AMD ,Threadripper,4255,64,2.9,4.3,280,,
Intel Core i5-10400,Intel ,Core i5,130,6,2.9,4.3,65,,
Intel Core i5-10400F,Intel ,Core i5,97.99,6,2.9,4.3,65,,
Intel Core i5-10500,Intel ,Core i5,238.99,6,3.1,4.5,65,,
Intel Core i5-10600,Intel ,Core i5,349.95,6,3.3,4.8,65,,
Intel Core i5-10600K,Intel ,Core i5,169.65,6,4.1,4.8,125,,
Intel Core i5-10600KF,Intel ,Core i5,123,6,4.1,4.8,125,,
Intel Core i5-11400,Intel ,Core i5,136.5,6,2.6,4.4,65,,
Intel Core i5-11400F,Intel ,Core i5,115.98,6,2.6,4.4,65,,
Intel Core i5-11500,Intel ,Core i5,146.16,6,2.7,4.6,65,,
Intel Core i5-11600,Intel ,Core i5,140,6,2.8,4.8,65,,
Intel Core i5-11600K,Intel ,Core i5,179.99,6,3.9,4.9,125,,
Intel Core i5-11600KF,Intel ,Core i5,164.89,6,3.9,4.9,125,,
Intel Core i5-12400,Intel ,Core i5,156.76,6,2.5,4.4,65,,
Intel Core i5-12400F,Intel ,Core i5,128,6,2.5,4.4,65,,
Intel Core i5-12500,Intel ,Core i5,195.98,6,3,4.6,65,,
Intel Core i5-12600,Intel ,Core i5,337.11,6,3.3,4.8,65,,
Intel Core i5-12600K,Intel ,Core i5,175.74,10,3.7,4.9,125,,
Intel Core i5-12600KF,Intel ,Core i5,159.13,10,3.7,4.9,125,,
Intel Core i5-13400,Intel ,Core i5,228.98,10,2.5,4.6,65,,
Intel Core i5-13400F,Intel ,Core i5,185.99,10,2.5,4.6,65,,
Intel Core i5-13500,Intel ,Core i5,244.85,14,2.5,4.8,65,,
Intel Core i5-13500T,Intel ,Core i5,,14,1.6,4.6,35,,
Intel Core i5-13600,Intel ,Core i5,,14,2.7,5,65,,
Intel Core i5-13600K,Intel ,Core i5,283.99,14,3.5,5.1,125,,
Intel Core i5-13600KF,Intel ,Core i5,249.99,14,3.5,5.1,125,,
Intel Core i5-14400,Intel ,Core i5,229.98,10,2.5,4.7,65,,
Intel Core i5-14400F,Intel ,Core i5,199.99,10,2.5,4.7,65,,
Intel Core i5-14500,Intel ,Core i5,239.99,14,2.6,5,65,,
Intel Core i5-14600K,Intel ,Core i5,295.99,14,3.5,5.3,125,,
Intel Core i5-14600KF,Intel ,Core i5,293.99,14,3.5,5.3,125,,
Intel Core i7-10700,Intel ,Core i7,234.8,8,2.9,4.8,65,,
Intel Core i7-10700F,Intel ,Core i7,218.99,8,2.9,4.8,65,,
Intel Core i7-10700K,Intel ,Core i7,247.25,8,3.8,5.1,125,,
Intel Core i7-10700K Avengers Collector's Edition,Intel ,Core i7,741,8,3.8,5.1,125,,
Intel Core i7-10700KF,Intel ,Core i7,240,8,3.8,5.1,125,,
Intel Core i7-11700,Intel ,Core i7,249.44,8,2.5,4.9,65,,
Intel Core i7-11700F,Intel ,Core i7,201.99,8,2.5,4.9,65,,
Intel Core i7-11700K,Intel ,Core i7,233,8,3.6,5,125,,
Intel Core i7-11700KF,Intel ,Core i7,244.27,8,3.6,5,125,,
Intel Core i7-12700,Intel ,Core i7,265.49,12,2.1,4.9,65,,
Intel Core i7-12700F,Intel ,Core i7,249.99,12,2.1,4.9,65,,
Intel Core i7-12700K,Intel ,Core i7,248,12,3.6,5,125,,
Intel Core i7-12700KF,Intel ,Core i7,223.95,12,3.6,5,125,,
Intel Core i7-13700,Intel ,Core i7,371.99,16,2.1,5.2,65,,
Intel Core i7-13700F,Intel ,Core i7,349.98,16,2.1,5.2,65,,
Intel Core i7-13700K,Intel ,Core i7,359,16,3.4,5.4,125,,
Intel Core i7-13700KF,Intel ,Core i7,303.49,16,3.4,5.4,125,,
Intel Core i7-13700T,Intel ,Core i7,,16,1.4,4.9,35,,
Intel Core i7-14700,Intel ,Core i7,399.98,20,2.1,5.4,65,,
Intel Core i7-14700F,Intel ,Core i7,369.55,20,2.1,5.4,65,,
Intel Core i7-14700K,Intel ,Core i7,399.99,20,3.4,5.6,125,,
Intel Core i7-14700KF,Intel ,Core i7,375.74,20,3.4,5.6,125,,
Intel Core i9-10850K,Intel ,Core i9,279,10,3.6,5.2,125,,
